Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0167250968827815,2.44149145345318E-10,0.0203639204176536,0,0,0,0.240383168658405,7.83804120751113E-05,-1.33677467927533E-12,8.81205594526933E-07,0.000100074084783745,-7.20459622056662E-10,0.000112287656365948,0,0,0,0,0,0,package://pioneer3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/base_link.STL,,assem0305-1/link13-1,base <assem0305-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Body,-0.0193898149026809,0.00222591592015722,0.0444172391413023,0,0,0,0.774724923242869,0.000896603730400152,-1.88519887603303E-05,-7.16736744399087E-06,0.000619545768203177,-2.23556455740887E-05,0.00107921959387707,0,0,0,0,0,0,package://pioneer3/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/Body.STL,,0423momtong-1,wristle,wristlea,bodyj,revolute,0,0,0.044,0,0,0,base_link,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
RA_link1,-7.50000634615923E-05,0.000401188760507487,0.00834166838443349,0,0,0,0.0115476492286881,4.12065404335022E-06,-1.56945908739664E-13,-2.3697766161428E-13,1.60398828094646E-06,1.57011245213886E-13,4.07101891575568E-06,0,0,0,0,0,0,package://pioneer3/meshes/RA_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link1.STL,,RA_link1-1,RAj1,RAj1a,RA_j1,revolute,0.025552,-0.0798,0.065679,1.5708,0,0,Body,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
RA_link2,0.0415895478990663,8.9087516866166E-05,1.4087516855707E-05,0,0,0,0.0976313045710125,1.77003872433829E-05,1.82744192429706E-07,-1.82744192428845E-07,2.40642398269195E-05,8.2844861802451E-13,2.39715332723679E-05,0,0,0,0,0,0,package://pioneer3/meshes/RA_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link2.STL,,RA_link2-1,RAj2,RAj2a,RA_j2,revolute,0,0,0.021282,1.5708,-1.5708,0,RA_link1,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RA_link3,0.0740596286038509,0.00988456500166742,8.47100684984135E-05,0,0,0,0.0970495897686328,2.25127869893031E-05,-3.71122412867642E-08,1.82723660580053E-07,3.48264767703425E-05,-5.6566102245087E-13,2.2513245712724E-05,0,0,0,0,0,0,package://pioneer3/meshes/RA_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link3.STL,,RA_link3-1,RAj3,RAj3a,RA_j3,revolute,0.083008,0,0,1.5708,0,0,RA_link2,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RA_link4,0.035114468974555,-0.0230460225520937,-0.0015332532138342,0,0,0,0.0258491749290588,1.04022877238367E-05,1.9672117898398E-06,-8.44967793224537E-13,2.21552310040836E-05,2.2182555808158E-12,1.66621056690838E-05,0,0,0,0,0,0,package://pioneer3/meshes/RA_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RA_link4.STL,,RA_link4-1,RAj4,RAj4a,RA_j4,revolute,0.081772,0,0,0,0,0,RA_link3,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link1,-7.49999366664936E-05,-0.000401188760507723,0.00834166838443265,0,0,0,0.011547649228688,4.12065404335021E-06,-1.56945911592939E-13,2.36977660319132E-13,1.60398828094644E-06,-1.57011424829553E-13,4.07101891575567E-06,0,0,0,0,0,0,package://pioneer3/meshes/LA_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link1.STL,,LA_link1-1,LAj1,LAj1a,LA_j1,revolute,0.025552,0.0798,0.065679,-1.5708,0,0,Body,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link2,-8.90881371993224E-05,0.0415895478998911,-1.4088137134563E-05,0,0,0,0.0976313045710133,2.40642398269196E-05,-1.82745975027851E-07,-8.28448794189772E-13,1.7700387243383E-05,1.82745975027846E-07,2.3971533272368E-05,0,0,0,0,0,0,package://pioneer3/meshes/LA_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link2.STL,,LA_link2-1,LAj2,LAj2a,LA_j2,revolute,0,0,0.021282,1.5708,0,0,LA_link1,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link3,0.0740124434762964,0.00995100438307307,-2.10717138973901E-05,0,0,0,0.0964594668522865,2.24913417456753E-05,-3.71046689039174E-08,-1.82766501654953E-07,3.48050314951755E-05,-2.66624535931702E-13,2.24708995283987E-05,0,0,0,0,0,0,package://pioneer3/meshes/LA_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link3.STL,,LA_link3-1,LAj3,LAj3a,LA_j3,revolute,0,0.083008,0,1.5708,0,1.5708,LA_link2,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LA_link4,0.034330717191581,-0.0225316372474616,0.000152669856721209,0,0,0,0.0264392978454057,1.04237331647152E-05,1.96721170536246E-06,-6.1192989763702E-13,2.21766760819998E-05,1.85273220406346E-12,1.67044518534091E-05,0,0,0,0,0,0,package://pioneer3/meshes/LA_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LA_link4.STL,,LA_link4-1,LAj4,LAj4a,LA_j4,revolute,0.081772,0,0,0,0,0,LA_link3,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
Neck_link1,0.00881675534498029,0.000424008175824692,0.0228543084913687,0,0,0,0.0489221422171348,8.66202106821969E-06,-3.93419641724233E-07,-3.92119436105372E-08,1.07474815292861E-05,-8.93194087043012E-09,1.36374535657454E-05,0,0,0,0,0,0,package://pioneer3/meshes/Neck_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/Neck_link1.STL,,link22-1,neckj1,neckj1a,Neckj1,revolute,0.026477,3E-05,0.092,0,0,0,Body,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
Neck_link2,0.00324207240321625,0.0421870933743638,-0.00127094299226047,0,0,0,0.0562977374530262,3.28578623414443E-05,1.70000019824115E-07,2.39350621572202E-09,3.04793083290288E-05,-4.02027223183294E-10,7.04385739529729E-06,0,0,0,0,0,0,package://pioneer3/meshes/Neck_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/Neck_link2.STL,,link23-1,neckj2,neckj2a,Neck_j2,revolute,0.020822,0.00019107,0.02512,1.5708,0,0,Neck_link1,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RL_link1,6.42169055084518E-09,-0.0219307811560503,-0.0108112966258257,0,0,0,0.0361632382405996,5.41116951752787E-05,-3.12815448631409E-12,5.78182245260303E-14,9.66378632488254E-06,-1.97545977189402E-07,5.66457480929963E-05,0,0,0,0,0,0,package://pioneer3/meshes/RL_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RL_link1.STL,,assem0305-1/link11-1,RLj1 <assem0305-1>,RL_j1a <assem0305-1>,RL_j1,revolute,0,-0.045,0,0,0,-1.5708,base_link,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RL_link2,-0.000155224653073202,0.0175532012676426,-0.0221676492467084,0,0,0,0.199136941508231,7.94219530743605E-05,1.06395420715344E-06,-4.6225902127694E-09,4.77173071514332E-05,-1.04491774708346E-06,8.02433026493238E-05,0,0,0,0,0,0,package://pioneer3/meshes/RL_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RL_link2.STL,,assem0305-1/link5-1,RLj2 <assem0305-1>,RL_j2a <assem0305-1>,RL_j2,revolute,0,0,-0.03561,-1.5708,0,0,RL_link1,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
RL_link3,0.070697844859153,-0.00690531242399754,-0.000615163409506594,0,0,0,0.109764268638753,3.42597906144572E-05,3.81765944865847E-06,-3.78424411652146E-16,8.41269076176964E-05,-8.64239095358449E-16,7.54085071592888E-05,0,0,0,0,0,0,package://pioneer3/meshes/RL_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RL_link3.STL,,assem0305-1/link9-2,RLj3 <assem0305-1>,RL_j3a <assem0305-1>,RL_j3,revolute,0,0.0361,0,-1.5708,0,1.5708,RL_link2,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RL_link4,0.0305994031020729,-0.0120235926576757,4.11080572858338E-05,0,0,0,0.148800494539436,7.27018871523785E-05,-1.14360945396729E-05,1.01882441759678E-06,0.000125674269168084,-3.00739117668398E-07,9.73247119796599E-05,0,0,0,0,0,0,package://pioneer3/meshes/RL_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RL_link4.STL,,assem0305-1/link3-1,RLj4 <assem0305-1>,RL_j4a <assem0305-1>,RL_j4,revolute,0.13629,0,0,0,0,0,RL_link3,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RL_link5,0.0184053379143802,0.0221848218746019,0.000158385663099121,0,0,0,0.199136941508231,4.77173071514333E-05,-1.04163236911465E-06,1.06064116631225E-06,8.02433026493259E-05,4.62259004995958E-09,7.94219530743587E-05,0,0,0,0,0,0,package://pioneer3/meshes/RL_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/RL_link5.STL,,assem0305-1/link2-1,RLj5 <assem0305-1>,RL_j5a <assem0305-1>,RL_j5,revolute,0.11176,0,0,0,0,0,RL_link4,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
RL_link6,0.031214832724338,-0.0103874792312922,-0.0155727113601991,0,0,0,0.110140418970307,0.000244915284087819,2.39139813894224E-10,-1.55440879126306E-10,0.000183609452644583,-2.24895809571109E-08,6.94921441530125E-05,0,0,0,0,0,0,package://pioneer3/meshes/RL_link6.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://pioneer3/meshes/RL_link6.STL,,assem0305-1/link1-1,RLj6 <assem0305-1>,RL_j6a <assem0305-1>,RL_j6,revolute,0.0361,0,0,1.5708,0,0,RL_link5,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LL_link1,6.42169120657066E-09,-0.0219307811560507,-0.010811296625817,0,0,0,0.0361632382405995,5.41116951752787E-05,-3.12815446505222E-12,5.78182546738962E-14,9.66378632488246E-06,-1.97545977189469E-07,5.66457480929964E-05,0,0,0,0,0,0,package://pioneer3/meshes/LL_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LL_link1.STL,,assem0305-1/link12-1,LLj1 <assem0305-1>,LL_j1a <assem0305-1>,LL_j1,revolute,0,0.045,0,0,0,-1.5708,base_link,0,0,-1,1000,1000,-3.14,3.14,,,,,,,,
LL_link2,0.000145296845586826,0.0175227430535847,-0.0221708284324479,0,0,0,0.199136941508231,7.94219530743605E-05,-1.0606411661061E-06,-4.62259021280249E-09,4.77173071514332E-05,-1.04163236932478E-06,8.02433026493239E-05,0,0,0,0,0,0,package://pioneer3/meshes/LL_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LL_link2.STL,,assem0305-1/link10-1,LLj2 <assem0305-1>,LL_j2a <assem0305-1>,LL_j2,revolute,9.9992E-05,0,-0.03564,-1.5708,0,0,LL_link1,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LL_link3,0.0706970092185898,-0.00673818991314212,-0.00166623947296286,0,0,0,0.109764268638753,3.42607147581954E-05,3.61593091174712E-06,1.24324206704757E-06,8.32043955820017E-05,2.68040974058395E-06,7.63300950512455E-05,0,0,0,0,0,0,package://pioneer3/meshes/LL_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LL_link3.STL,,assem0305-1/link4-3,LLj3 <assem0305-1>,LL_j3a <assem0305-1>,LL_j3,revolute,-9.9992E-05,0.03607,0,-1.902,0,1.5708,LL_link2,0,-0.32514,0.94567,1000,1000,-3.14,3.14,,,,,,,,
LL_link4,0.0305967429888858,-0.0120477942212374,-4.11206203126957E-05,0,0,0,0.148800494542192,7.26973250921589E-05,-1.1432438303796E-05,-1.0175105142074E-06,0.000125678831232491,3.05267416246822E-07,9.73247119802278E-05,0,0,0,0,0,0,package://pioneer3/meshes/LL_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LL_link4.STL,,assem0305-1/link8-1,LLj4 <assem0305-1>,LL_j4a <assem0305-1>,LL_j4,revolute,0.13629,0,0,0.33116,0,0,LL_link3,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LL_link5,0.0184863647929301,0.0221676755881108,-0.000242135841645133,0,0,0,0.199136941508231,4.77173071514332E-05,-1.04491774716455E-06,-1.06395420707341E-06,8.02433026493246E-05,4.62259014978728E-09,7.94219530743597E-05,0,0,0,0,0,0,package://pioneer3/meshes/LL_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LL_link5.STL,,assem0305-1/link7-1,LLj5 <assem0305-1>,LL_j5a <assem0305-1>,LL_j5,revolute,0.11176,0,0,0,0,0,LL_link4,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LL_link6,0.0312148327243379,0.0103874633820813,-0.015572737702614,0,0,0,0.110140418970306,0.000244915284087817,-2.39139813948172E-10,-1.55440879076274E-10,0.000183609452644586,2.24835149234858E-08,6.94921441530078E-05,0,0,0,0,0,0,package://pioneer3/meshes/LL_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pioneer3/meshes/LL_link6.STL,,assem0305-1/link6-1,LLj6 <assem0305-1>,LL_j6a <assem0305-1>,LL_j6,revolute,0.0361,0,0,1.5708,0,0,LL_link5,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
